wave flux
4000.2455 54627.363
4000.2955 58653.76
4000.3455 57773.76
4000.3955 55569.44
4000.4455 57108.58
4000.4955 56066.176
4000.5455 55625.77
4000.5955 56929.566
4000.6455 57255.82
4000.6955 55886.406
4000.7455 54931.527
4000.7955 54757.61
4000.8455 54469.562
4000.8956 55488.305
4000.9456 56264.15
4000.9956 56213.027
4001.0456 54624.023
4001.0956 54877.125
4001.1456 56301.066
4001.1956 55371.5
4001.2456 57654.895
4001.2956 53626.883
4001.3456 55389.223
4001.3956 56158.234
4001.4456 56932.652
4001.4956 56428.836
4001.5456 55419.223
4001.5956 56822.78
4001.6456 57133.727
4001.6956 58128.445
4001.7456 55897.223
4001.7956 58763.56
4001.8456 55701.457
4001.8956 58178.953
4001.9456 56158.91
4001.9956 57470.848
4002.0456 54689.98
4002.0956 56616.87
4002.1456 57370.664
4002.1956 55870.895
4002.2456 55446.49
4002.2956 57292.49
4002.3456 56996.363
4002.3956 55566.773
4002.4456 57253.723
4002.4956 58634.91
4002.5457 56192.266
4002.5957 57838.195
4002.6457 56838.332
4002.6957 56064.613
4002.7457 57072.617
4002.7957 53809.754
4002.8457 56909.17
4002.8957 55905.273
4002.9457 56273.566
4002.9957 55527.234
4003.0457 56912.695
4003.0957 57907.98
4003.1457 56175.734
4003.1957 55088.184
4003.2457 56683.457
4003.2957 55873.14
4003.3457 56443.8
4003.3957 56982.34
4003.4457 56319.426
4003.4957 54186.12
4003.5457 56386.164
4003.5957 56065.727
4003.6457 57174.363
4003.6957 58082.56
4003.7457 57520.93
4003.7957 57014.16
4003.8457 57068.66
4003.8957 55270.758
4003.9457 54579.11
4003.9957 56560.832
4004.0457 58388.74
4004.0957 53588.633
4004.1458 56407.22
4004.1958 57037.06
4004.2458 57041.66
4004.2958 56113.39
4004.3458 56273.598
4004.3958 53390.6
4004.4458 56228.29
4004.4958 56216.086
4004.5458 56451.527
4004.5958 58086.637
4004.6458 56238.906
4004.6958 57541.75
4004.7458 57540.086
4004.7958 58686.62
4004.8458 55575.043
4004.8958 54805.406
4004.9458 54179.42
4004.9958 51076.99
4005.0458 49645.473
4005.0958 53752.75
4005.1458 54591.723
4005.1958 57813.715
4005.2458 56510.754
4005.2958 55690.465
4005.3458 57655.74
4005.3958 57108.367
4005.4458 58189.79
4005.4958 56646.15
4005.5458 56507.625
4005.5958 54655.434
4005.6458 57044.77
4005.6958 56318.97
4005.7458 57323.363
4005.7959 54919.71
4005.8459 56409.38
4005.8959 56490.207
4005.9459 55637.004
4005.9959 56919.473
4006.0459 58771.57
4006.0959 56010.523
4006.1459 58541.43
4006.1959 57002.51
4006.2459 54390.02
4006.2959 56808.98
4006.3459 57391.2
4006.3959 57090.35
4006.4459 57410.1
4006.4959 55845.098
4006.5459 55630.395
4006.5959 56020.836
4006.6459 56187.305
4006.6959 56922.082
4006.7459 55308.793
4006.7959 53695.867
4006.8459 54894.984
4006.8959 54181.777
4006.9459 55532.098
4006.9959 54104.13
4007.0459 54458.758
4007.0959 55965.426
4007.1459 56772.01
4007.1959 56024.637
4007.2459 52783.7
4007.2959 54226.74
4007.3459 54059.92
4007.3959 54886.055
